origin,translation
Bottega hor per commodo di Casin,workshop now for the convenience of houses
casa altro appartamento,house another apartment
Altre porcion di casa,other portions of the house
Bottegha da zavater,shoemaker's shop
Casa a pepian et in secondo soler e squero,house with pepian and on the second floor and shipyard
Bottega da fabro,blacksmith's shop
"bottega due in una di gallineri, seconda","shop two in one of hen houses, second"
Casa e Casetta,house and small house
"Casa, e Bottega da Luganegher","house, and butcher's shop"
Magazen per uso,warehouse for use
Casa e Botega da Fabro,house and blacksmith's shop
Casa e Bottega da Capeller,house and shop of the hat maker
"Soler di sotto, Altra stanza di detta Casa","lower room, another room of said house"
bottega da schiopeter,gunsmith's shop
inviamento da frutariol,sending from frutariol
bottega da fenester,window shop
Bottega fenestrer,window shop
"Bottega, e Camarin","workshop, and small room"
appartamento di suddetta casa,apartment of aforementioned house
banco,bank
bottega da scaleter e casa in soler e inviamento,shop for stairs and house in loft and forwarding
"Banco, una casa sopra e due botteghe","bank, a house above and two shops"
inviamento della bottega suddetta,sending of the aforementioned shop
casa di pubblica ragione,house of public reason
Casa Grande partita in sei affittanze,large house divided into six leases
Volta numero 9,turn number 9
Casa domenicale per proprio uso,sunday house for personal use
Casetta a pepian data per carità,pepian cottage given for charity
Casa e botegha da Barbier,house and barber's shop
Casa in soler con Bottega d'Indorador,house with gilder's shop on the ground floor
Scola de Travasadori da Vin,school of wine pourers
Bottega di Calegher con volta,cobbler's shop with vault
"casetta, sopra la cusina","little house, over the kitchen"
Bottega vende libri,shop sells books
"casa in quattro soleri, secondo","house in four suns, according to"
Scancello compreso nella botega che tiene Andrea Rignini in Ruga,gate included in the shop that andrea rignini holds in ruga
Casetta hora inaffitata,small house now unrented
Botteghe due Inafitatte,two leased shops
ostaria del sturion,tavern of the sturgeon
"Bottega, e due Volte","workshop, and two times"
bottega e inviamento da luganegher,shop and dispatch from sausage maker
Casetta a pepian con bottega di zavatter,small house with cobbler's shop
Bottega di Fruttarol e inviamento,fruttarol's workshop and shipment
"casa, quarto soler, vuota","house, fourth floor, empty"
fontego de Turchi,warehouse of the Turks
Osteria La Donzella,tavern the maiden
Casa in Soler e Casetta a pepian con Bottega,house in soler and small house in pepian with shop
casa con bottega da frutariol e magazen,house with fruit shop and storage
bottega da naranzer,orange shop
casa e bottega da frutarol e inviamento,house and fruit shop with promotion
Bottega non affitata,unrented workshop
casa in soler con bottega da barbier,house with barber shop on the ground floor
