origin,translation
CHIESA DI SAN CANCIANO,church of san canciano
PIEVAN DELLA CHIESA,church's parishioner
FABRICA DI CHIESA,church factory
FABRICA DELLA CHIESA,church's property
SCUOLA GRANDE DI SAN MARCO,great school of san marco
FRATERNA DI SANT'ANGELO,brotherhood of saint angelo
CONVENTO DI SAN PIETRO MARTIRE (di Murano),convent of san pietro martire (of murano)
FRATERNA DI SAN VETTORE,brotherhood of san vettore
SCUOLA GRANDE DI SANTA MARIA DELLA MISERICORDIA,great school of santa maria della misericordia
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Basso),school of the most holy sacrament (of san basso)
SCUOLA GRANDE DELLA CARITA,great school of charity
FRATERNA DEI POVERI VERGOGNOSI (di Sant'Antonin),brotherhood of the shameful poor (of sant'antonin)
ROTA DELLA CARITA,wheel of charity
CHIESA,church
OSPEDALE DELLA PIETA,hospital of pity
MONASTERO DI SANTA CATERINA,monastery of st. catherine
CAPITOLO DEI SANTI APOSTOLI,chapter of the holy apostles
MONASTERO DI SANTA CATERINA (di Mazzorbo),monastery of santa caterina (of mazzorbo)
CHIESA DI SAN FELICE,church of san felice
TRE PRETTI TITOLATTI E DIACONO,three entitled priests and deacon
CHIESA DI SAN GIOVANNI LATERANO,church of san giovanni laterano
MONASTERO DI SANT'ALVISE,monastery of sant'alvise
PIEVANO,parish priest
PIEVE,parish
SCOLA DI SAN MATTIO,school of saint matthew
SCUOLA GRANDE DI SAN GIOVANNI EVANGELISTA,great school of saint john the evangelist
NOBIL DONNA DI SAN VIO,noble lady of san vio
CHIESA DI SAN SECONDO,church of san secondo
CHIESA DI SAN GEREMIA,church of san geremia
PROCURATIA DI CITRA,procuration of citra
PATRIARCATO DI VENEZIA,patriarchate of venice
NOBIL HOMINI DI SAN VIO,noble man of san vio
SCUOLA GRANDE DI SAN ROCCO,great school of san rocco
CONGREGAZIONE DEL CLERO DI SANTA MARIA FORMOSA DI VENEZIA,congregation of the clergy of santa maria formosa of venice
CAPITOLO,chapter
CHIESA DI SAN GIOBBE,church of san giobbe
CHIESA DI SANT'ANDREA DELLA ZIRADA,church of saint andrew of zirada
SCUOLA DI SANTA MARIA ZOBENIGO,school of santa maria zobenigo
CONGREGAZIONE DELLA COMMISSARIA CENTARINI,congregation of the centarini commissioner
SCUOLA DI SAN BERNARDINO,school of san bernardino
PROCURATIA DI SUPRA,procurement of above
PROCURATIA,procuracy
OSPEDALE DEGLI INCURABILI,hospital of the incurables
SCOLA DI S. ANDREA,school of st. andrew
MONASTERO DI SANT'ANTONIO (di Torcello),monastery of saint anthony (of torcello)
PIO LOCO DELLE PENITENTI,pious place of the penitents
CHIESA DI SANT'ANTONINO,church of sant'antonino
CHIESA DI SANTA MARIA MADDALENA,church of saint mary magdalene
ABBAZIA DELLA MISERICORDIA,abbey of mercy
SCOLA DEL SACRAMENTO DI SAN ZUANNE,school of the sacrament of san zuanne
RELIGIOSO CHE ABITA A SAN LIO,religious person who lives in san lio
CHIESA DI SAN LEONARDO,church of san leonardo
REVERENDE MONACHE DI VICENZA,reverend nuns of vicenza
UFFICIO DELLA SETA,silk office
REVERENDISSIMO PIEVANO,most reverend parish priest
MONASTERO DI SAN GIOVANNI (di Torcello),monastery of san giovanni (of torcello)
SIGNOR PIEVAN,parish lord
PRIMO PRETE,first priest
OSPEDALE DEI SANTI PIETRO E PAOLO,hospital of saints peter and paul
MONASTERO DI SAN GEROLAMO,monastery of san gerolamo
BEATA VERGINE DELLE GRAZIE (in San Marcilian),blessed virgin of grace (in san marcilian)
CONVICINATO DI SAN MARCILIAN,neighborhood of san marcilian
REVERENDISSIMO SIGNOR PIEVAN,most reverend parish priest
CHIESA DEL CORPUS DOMINI,church of corpus domini
OSPEDALE DI SANTA MARIA DEI BATTUTI,hospital of santa maria dei battuti
CAPITOLO,chapter
CHIESA DI SAN MARCILIAN,church of san marcilian
[LIVELLO] AL CONSORTIO DE CASAROLI,[level] to the consortium of casaroli
FORNERI,bakers
REVERENDI PADRI DELLA MADONNA DALL'ORTO,reverend fathers of the madonna from the garden
SCUOLA DI SANTA MARIA E DI SAN CRISTOFORO DEI MERCANTI,school of saint mary and saint christopher of the merchants
CHIESA DI SANTA MARIA DEI SERVI,church of santa maria dei servi
SCOLA DI SAN ONOFFRIO DELI TENTORI,school of san onofrio of the tent-makers
SCOLA DELL'ANNONCIATA DEI SERVI,school of the annunciation of the servants
CHIESA DELLE CAPPUCCINE,church of the capuchins
PIZZOCHERE,nuns
CHIESA DI SAN MARCUOLA,church of san marcuala
SANTORIO OGNI SANTI,santorio every saints
REPUBBLICA DI VENEZIA,republic of venice
SCUOLA DEL CRISTO (in San Marcuola),school of christ (in san marcuola)
SCUOLA SAN GIOVANNI BATTISTA,school of saint john the baptist
