origin,translation
MERCANTE DI CHIODI,nail merchant
AMMINISTRATORE DI EREDITA,administrator of inheritance
DOTTORE,doctor
SPECIER DI CONFETTI,spice and confetti dealer
FABBRO,blacksmith
CANCELLIERE,chancellor
CUOCO,cook
CIMADOR,bricklayer
MERCANTI,merchants
PERUCHIER,wig maker
PROCURATORE,procurator
STRAZZAROLO,rag picker
AVVOCATO,lawyer
MEDICO,doctor
TUTRICE,guardian
CAPITANO,captain
MERCANTE DI LEGNAME,timber merchant
CALEGHER,cobbler
FRUTTAROL,greengrocer
RABIN,"This text does not require translation as ""RABIN"" is not an Italian term related to ancient Venetian land and leases."
OREFICE,goldsmith
NODARO,knotter
MERCANTE DI ORO,gold merchant
ECONOMO,steward
FORMAGGIERE,cheesemaker
ILLUSTRISSIMO MEDICO,most illustrious doctor
ERBAROLO,herb grower
LUGANEGHER,sausage maker
