origin,translation
calcina,lime
caffè,coffee
gratis,free
zuchero,sugar
libbre di zucchero,pounds of sugar
"zucchero, carbon","sugar, coal"
sapone bianco,white soap
zuccaro,sugar
formaglio,cheese mold
candelle di secco,dry candles
zucharo,sugar
sal,salt
"risi, pernise","rice, pernise"
non paga affitto,does not pay rent
vin de Cipro,cyprus wine
zucaro,sugar
pernise,duck
messe,masses
"soleva pagar 16 ducati, ora non paga affitto","used to pay 16 ducats, now does not pay rent"
zucchero,sugar
Per carità,for charity
angurie,watermelons
"savon, savon","soap, soap"
lingue,tongues
zucari,sugar
zuchari,sugar
"zuccaro, cera","sugar, wax"
Alle Decime del Clero,to the clergy tithes
"sapone, zuccaro","soap, sugar"
savon,soap
caponi,capons
caffé,coffee
candelle di seo,seo candles
panni di zucchero,sugar loaves
molte le dà anche per carità,many give it also for charity
candelle di seco,dry candles
regalie,royalties
semola,semolina
"sapon, sapon","soap, soap"
candelle di sevo,tallow candles
pernice,partridge
cerra,lock
gratis sua vita durante,free his life during
libbre di zuccaro,pounds of sugar
regalia de frutti con saon,royalties from fruits with soap
nose,nose
per carità,for charity
con obligo di governar un porco,with the obligation to raise a pig
ace,"Sorry, but what you've provided doesn't seem to be Italian text. Could you provide the right text, so I can help with translation?"
per amor d'iddio,for the love of god
lengue salate,salted tongues
"pernise, maroni","pernise, chestnuts"
panni da zucchero,sugar cloths
amor dei,love of god
"zucaro, guanti de vetello","sugar, calf's gloves"
farina,flour
frutti,fruits
"carta, quinterni","paper, quires"
regalia,royalties
lino munighino,lino munighino
non pagar affitto per esser detta casa di sospetto,not paying rent for that house to be suspected
"pernise, formaggio piasentin","duck, piasentin cheese"
maggioli,ponds
formaggio,cheese
"savon, zucharo, quanti de castor, pernise","soap, sugar, quantities of beaver, partridge"
saon,inn
amore dei,love of god
sappone,soap
sapone,soap
non pagar affitto,not paying rent
risi,rice
per gracia,for grace
oglio,oil
legne di manzo,beef logs
calzze di seda,silk stockings
"mulle, scarpe","mills, shoes"
vitello,calf
regalia anua,annual royalties
cera lavorada,worked wax
cera lavorata,worked wax
figoli fini,fine figs
zuccari,sugars
per grazia,by grace
per amor di Dio,for the love of God
magioli,leases
annualmente sono obligati per tante messe,they are obligated annually for so many masses
zuccheri,sugars
candelle,candles
"cera, zuccaro","wax, sugar"
lin,the income
pernici,partridges
moscato,muscat
miro e mezzo,mirror and half
carbon,carbon
"argento, spitiare ridote a soldi","silver, houses reduced to money"
"caponi, regalia","capons, royalties"
sappone bianco,white soap
libbre di sapone,pounds of soap
"savon, oglio","soap, oil"
giurò non pagar affitto,swore not to pay rent
seda di colori,silk of colors
"zuccaro, pasta","sugar, pasta"
"cera, zuchero","wax, sugar"
"vitello, capretto","veal, kid goat"
cera,wax
zucheri,sugars
sapon,soap
felippo,felippo
savon bianco,white soap
olio,oil
"zucaro, magioli","sugar, magioli"
buttiro,butter
"pommi, marroni","apples, chestnuts"
panni da zuccaro,sugar cloths
"cera, zuccaro, pernici","wax, sugar, partridges"
per l'affitto gli corre l'obligo di cucinar il pane,for the rent he is obliged to bake the bread
[i 12 ducati di affitto] sono obligati in tante messe per ciascun anno,the 12 ducats of rent are required in so many masses for each year
"candelotto con arma d'argento, zuchari, magioli","candlestick with silver weapon, sugar bowls, jugs"
senza pagar l'affitto,without paying the rent
"zuccari, cera","sugars, wax"
candele di seo,seo candles
libbre 30,30 pounds
felli,fiefs
"zuccaro, pestacchi, contanti","sugar, nuts, cash"
