origin,translation
_cugini,cousins
_nepoti,grandchildren
_herede,heir
_nepote,grandchild
_fratelli,brothers
_fraterno,fraternal relationship
_eredi,heirs
_pupillo,ward
_moglie,wife
_figlie,daughters
_figlio,son
_heredita,inheritance
_figlioli,children
_consorte,spouse
_famiglia,family
_fradelli,brothers
_figli,children
_nippote,grandchild
_fratellio,brother
_figliuoli,children
_fraello,brother
_conosrte,spouse
_erede,heir
_pupilli,wards
_heredi,heirs
_figlia,daughter
_sorella,sister
_zigliol,child
_figliola,daughter
_fartello,brother
_sorelle,sisters
_frateli,brothers
_padre,father
_madre,mother
_eredita,inheritance
_nipoti,grandchildren
_consorti,spouses
_fratello,brother
_nipote,grandchild
_frattelli,brothers
_zio,uncle
