geometry_id,s_description,c_description,paragraph3,ParcelInfo,OwnerInfo,RentalInfo
5586,"In 1808, this parcel includes 3 parts. part 1: The parcel was located in the district Castello, salizzada s. lio, having an area of 308.387 square meters. This parcel served as a shop and its parcel type included building. The owner of this parcel was PELANDINA Catterina, with an ownership type of Rent.part 2: The parcel was located in the district Castello, salizzada s. lio, with an area of 308.387 square meters. It served as a shop and its parcel type included building. The owner of this parcel was BARBARO Allessandro with ownership type Rent.part 3: The parcel was located in the district of Castello, salizzada s. lio, with an area of 308.387 square meters. It served as both a shop and a house, and its parcel type included a building. The owner of this parcel was Antonio Augusto Manetta, with the ownership type being rent.","In 1740, this parcel contained 4 points.  Point 1 served the function of house and two shops and was located in Calle del Giazzo at CS. The owner of this parcel consisted of one part. The owner’s full name was Zuane Almoro Barbaro. This point had been rented to Simon Rizzato. The rent included 20832 denari. Point 2 served the function of a house and two shops and was located in Calle del Giazzo at CS. The owner of this parcel consisted of 1 part. The owner’s full name was Tomaso SANDI. This point had been rented to Simon Rizzato. The rent included 66960 denari. Point 3 served the function of a house and two shops and was located in Calle del Giazzo at CS. The owner of this parcel consisted of one part. The owner’s full name was Gabriel BOMMARTINI. This point had been rented to Simon Rizzato. The rent included 14880 denari. Point 4 served the function of a house and two shops and was located in Calle del Giazzo at the sestiere of CS. The owner of this parcel consisted of one part. The owner's full name was Anzolo PALAZZINI. This point had been rented to Simon Rizzato. The rent included 14880 denari.","The geographic parcel in question underwent notable changes from the years 1740 to 1808. In 1740, the parcel was composed of four distinct points, each functioning primarily as houses with two shops, all situated on Calle del Giazzo in the district referred to as CS. The ownership during this period was split among four individuals: Zuane Almoro Barbaro, Tomaso Sandi, Gabriel Bommartini, and Anzolo Palazzini, with all points having been rented to Simon Rizzato at varying rental amounts.

By 1808, the composition of the parcel shifted to three parts, all located in the district of Castello, specifically on Salizzada S. Lio. The function of the parcel evolved to include a mix of shops and a house, and it was identified as a building type. Notably, the ownership of these parts changed hands to three different individuals: Catterina Pelandina, Alessandro Barbaro, and Antonio Augusto Manetta, all holding the parcel under a rental agreement as well.

The transition from four owners in 1740 to three different owners in 1808 might suggest a consolidation of ownership over the years. Additionally, the shift in location from Calle del Giazzo to Salizzada S. Lio indicates a change in the administrative or geographical context of the parcel. The evolution in the type of functions, from predominantly residential and commercial in 1740 to a clearer commercial focus in 1808, could reflect broader economic or social changes occurring in Venice during that timeframe.",1,1,1
10076,"In 1808, this parcel includes 2 parts. part 1: The parcel was located in the district Cannaregio, priuli street, covering an area of 138.019 square meters. It served as a house and its parcel type included a building and courtyard. The owner of this parcel was VENIER Maria, the widow of CONTARINI, with the ownership type being rent. The owner also had 18 other properties in Venice.part 2: The parcel was located in the district Cannaregio, priuli street, with an area of 138.019 square meters. It served as a house and its parcel type included building and courtyard. The owner of this parcel was PESARO Pietro (q. leonardo) with the title of Rent. The father of the owner was PESARO Leonardo, but the father had passed away. Additionally, the owner had 58 other properties in Venice.","In 1740, this parcel contained 6 points.  Point 1 served the function of a house in lower Soler and was located in Calle del Priuli at the sestiere of CN. The owner of this parcel consisted of 2 parts. The first owner was Lorenzo Tiepolo, holding the title of noble man. The second owner was Ferigo Tiepolo, also holding the title of noble man. This point had been rented to Lucia Belli for a rent of 40,176 denari. Point 2 served the function of half house and was located in Calle del Priuli at sestiere CN. The owners of this parcel consisted of 2 parts. The first owner was Lorenzo Tiepolo, holding the title of noble man. The second owner was Ferigo Tiepolo, also holding the title of noble man. This point had been rented to Mattia Basei for 8928 denari. Point 3 served the function of an upper floor and was located in Calle del Priuli at sestiere CN. The owners of this parcel consisted of two parts. The first owner was Lorenzo Tiepolo, holding the title of noble man. The second owner was Ferigo Tiepolo, also holding the title of noble man. This point had been rented to Girolamo Cecchinelli for 26,784 denari. Point 4 served the function of upper floor and was located in Calle del Priuli at CN. The owners of this parcel consisted of 2 parts. The first owner was Lorenzo TIEPOLO, holding the title of noble man. The second owner was Ferigo TIEPOLO, also holding the title of noble man. This point had been rented to Andrea Dareato, with the rent amounting to 35712 denari. Point 5 served the function of a house in lower Soler and was located in Calle del Priuli at sestiere CN. The owners of this parcel consisted of 2 parts. The first owner was Lorenzo Tiepolo, holding the title of noble man. The second owner was Ferigo Tiepolo, also holding the title of noble man. This point had been rented to Gasparo Damiani, with the rent amounting to 35,712 denari. Point 6 served the function of a pepian house and was located in Calle del Priuli de Cavaletti at sestiere SC. The owner of this parcel consisted of 1 part. The sole owner was a member of the VENIER family, holding the title of noble man. This point had been rented to Valentin Cossutta for 19,344 denari.","The geographic parcel of Venice underwent notable transformations between 1740 and 1808. In 1740, the parcel was divided into six distinct points, all located along Calle del Priuli in the sestiere Cannaregio (CN). The area served various functions, including houses, upper floors, and a pepian house, and was jointly owned by noblemen Lorenzo Tiepolo and Ferigo Tiepolo. This ownership was characterized by a rental system, with multiple tenants occupying the different points, each paying varying amounts of rent.

By 1808, the parcel had been consolidated into two main parts, still situated on Priuli Street within the Cannaregio district. The function of the parcel remained as a house, but it was defined as including both a building and a courtyard. The ownership shifted to new individuals, specifically Maria Venier, the widow of Contarini, and Pietro Pesaro, son of the late Leonardo Pesaro. Both owners utilized a rental ownership type, suggesting a transition from noble co-ownership to individual rentals.

The change in ownership type, from noble communal ownership in the 18th century to individual ownership in the 19th century, possibly reflects broader socio-economic transformations within Venice. The new owners possessed a significantly larger number of properties, with Maria Venier owning a total of 19 and Pietro Pesaro controlling 58, suggesting an increase in wealth concentration or diversification among property owners in Venice during this period.",1,0,1
,"In 1808, The parcel was located in the district Dorsoduro, saints' alley, with an area of 71.865 square meters. The parcel served as a house and its parcel type included building. The owner of this parcel was ZENNARO Antonio, property of pelestrina, with the ownership type being Rent. The father of the owner was ZENNARO di Pelestrina, but he had passed away. The owner also had no other properties in Venice.","In 1740, This point served the function of a house and was located in Sotto il portico dei Santi at DD. The owner of this parcel consisted of one part. The owner’s full name was Francesco DOMESTICI. This point had been rented to Nadalin Fioretto. The rent included 35712 denari.","The geographic parcel in Venice experienced notable changes between 1740 and 1808. In 1740, the parcel functioned as a house situated in Sotto il portico dei Santi, owned by Francesco DOMESTICI, who had rented it to Nadalin Fioretto for 35,712 denari. Conversely, by 1808, the parcel had shifted its location to the district of Dorsoduro, specifically saints' alley, and retained its function as a house while being categorized as a building.

Ownership changed from Francesco DOMESTICI in 1740 to Antonio ZENNARO in 1808, indicating a possible transfer of property rights or a shift in prominent local families. ZENNARO was identified as being from Pelestrina and had inherited this parcel after the death of his father, ZENNARO di Pelestrina. This new ownership structure implied that the lease arrangement remained in place, highlighting a continuity of rental status despite the change in ownership. 

Furthermore, ZENNARO had no other properties in Venice, contrasting with the prior owner, who had direct control over the parcel itself. This may suggest a consolidation of property within fewer familial lines by 1808, or possibly a decline in local land ownership diversity over this period. Overall, these transitions in location, ownership, and status reflected broader social and economic dynamics within Venice during the 18th century.",1,1,1
7136,"In 1808, this parcel includes 3 parts. part 1: The parcel was located in the district of Castello, specifically at the intersection of salizzada s. francesco and calle erizzo, with an area of 218.082 square meters. It served as a shop and was classified as a building. The owner of this parcel was BALBI MOSCA e Fratelli, holding the title of rent.part 2: The parcel was located in the district Castello, at salizzada s. francesco and calle erizzo, with an area of 218.082 square meters. The parcel served as a house and its parcel type included building. The owner of this parcel was Polese Giuseppe, with title unspecified, and the ownership type was Rent.part 3: The parcel was located in the district of Castello, salizzada s. francesco and calle erizzo, with an area of 218.082 square meters. It served as a shop and house, and its parcel type included a building. The owner of this parcel was COLETTI Giuseppe Maria (q. nicholas) with a title of Rent. The father of the owner was COLETTI Nicolò, but he had passed away.","In 1740, this parcel contained 5 points.  Point 1 served the function of a house and land below, located in Calle di Cà Erizo at the sestiere of CS. The parcel had two owners. The first owner was Andrea Guerra, who held the title of noble man. The second owner consisted of brothers from the Guerra family, also holding the title of noble man. This point had been rented to Filippo Zamorino for 20,832 denari. Point 2 served the function of a house on the upper ground and was located in Calle di Cà Erizo at sestiere CS. The owners of this parcel consisted of two parts. The first owner was Andrea Guerra, holding the title of noble man. The second owner was identified as the brothers of the Guerra family, also holding the title of noble man. This point had been rented to Battista Tramontin for a sum of 16,368 denari. Point 3 served the function of house and window shop and was located in Salizada di San Francesco at CS. The owner of this parcel consisted of one part. The owner’s full name was Alba Giustina CORNER, holding the title of noble lady. This point had been rented to Giovanni Battista Baroni, with a rent of 59520 denari. Point 4 served the function of a house and was located in Salizada di San Francesco at the sestiere of CS. The owner of this parcel consisted of 1 part. The owner’s full name was Benedetto BALBI, holding the title of noble man. This point had been rented to Gasparo Pavan, and the rent included 50592 denari. Point 5 served the function of house and shop and was located in Salizada di San Francesco at sestiere CS. The owner of this parcel consisted of 1 part. The owner’s full name was Alba Giustina CORNER, holding the title of noble lady. This point had been rented to Giovanni Battista Bortolotti at a rent of 77376 denari.","The geographic parcel of Venice underwent significant changes between 1740 and 1808. In 1740, the parcel was divided into five points, predominantly situated in the sestiere of Castello, specifically in Calle di Cà Erizo and Salizada di San Francesco. Ownership during this period included noble figures, such as Andrea Guerra and various members of the Guerra family, along with notable individuals like Alba Giustina Corner and Benedetto Balbi. The functions of the points included houses, shops, and a window shop, with rents varying significantly among the properties.

By 1808, the description condensed the parcel into three parts, still located within the district of Castello but specifically at the intersection of Salizada di San Francesco and Calle Erizzo. The ownership shifted to figures with rental titles, notably BALBI MOSCA e Fratelli, Polese Giuseppe, and COLETTI Giuseppe Maria, indicating a transition away from noble ownership to more commercial rental arrangements. The functions of the parcels evolved as well, with designations now focusing on shops and houses, uniformly classified as buildings. 

The changes in ownership types and the uniform classification of the parcel as buildings suggest a possible move towards commercial use in response to evolving urban dynamics and economic factors in Venice during this period.",0,1,1
8737,"In 1808, The parcel was located in the district Cannaregio, in the area known as district s. marcuala, calle and campiello colombina and the church of s. marcuala, with an area of 260.643 square meters. The parcel served as a house and its parcel type included building. The owner of this parcel was GHIDONI, holding the title of tenant with an ownership type of Rent.","In 1740, This point served the function of an empty house and was located in Corte Tagliapiera at sestiere CN. The owner of this parcel consisted of 1 part. The owner’s family name was NEGRI MAZZETTI, holding the title of commissioner. The owner's profession was lawyer. This point had been rented at a rate of 126480 denari.","The geographic parcel in question exhibited notable changes between the periods of 1740 and 1808. In 1740, it functioned as an empty house situated in Corte Tagliapiera within the sestiere of CN, owned by a single individual from the NEGRI MAZZETTI family, who held the title of commissioner and worked as a lawyer. The property was rented out at a price of 126480 denari.

By 1808, the parcel transitioned to a different location within the Cannaregio district, specifically in the area referred to as s. Marcuala, which included calle and campiello Colombina, along with the church of s. Marcuala. This change in location might suggest a shift in administrative divisions or the re-naming of the area. The parcel's functionality evolved into that of a house, now classified as a building. Ownership shifted to the GHIDONI family, who occupied the role of tenant, indicating a possible move from individual ownership to a rental arrangement.

Overall, the descriptions reflected a transition in both location and ownership type, from a commissioner-owned empty house to a tenant-occupied building within a different district. This shift could imply changes in societal dynamics and property management practices during this period.",1,1,1
9043,"In 1808, The parcel was located in the district Cannaregio, in the saint marcuola district, querini foundation, mazena street and court, with an area of 324.582 square meters. It served as a house and its parcel type included both a courtyard and a building. The owner of this parcel was MAFFETTI Elisabetta (q. Agostino - widow ZEN) and the ownership type was Rent. The husband of the owner was ZEN, but he had passed away. Additionally, the owner had 12 other properties in Venice.","In 1740, this parcel contained 6 points.  Point 1 served the function of a little house and was located in Calle Masena at the sestiere CN. The owner of this parcel consisted of one part. The owner’s family name was Maffetti, holding the title of noble man. This point had been rented to Bortolamio Lenzatto. The rent included 14880 denari. Point 2 served the function of a little house and was located in Calle Masena at CN. The owner of this parcel consisted of one part. The owner’s family name was MAFFETTI, holding the title of noble man. This point was rented to Bastian Picolin, with the rent amounting to 26784 denari. Point 3 served the function of a little house and was located in Calle Masena at CN. The owner of this parcel consisted of 1 part. The owner was identified as MAFFETTI, holding the title of noble man. This point had been rented to Gerolamo Simoni for 20832 denari. The point served the function of a little house and was located in Calle Masena at sestiere CN. The owner of this parcel consisted of one part. The owner’s family name was Maffetti, holding the title of noble man. Point 4 had been rented to Zuanne Minotto for 14,880 denari. Point 5 served the function of a little house and was located in Calle Masena at sestiere CN. The owner of this parcel consisted of one part. The owner’s family name was Maffetti, holding the title of noble man. This point had been rented to Anzolo Giove. The rent included 14880 denari. Point 6 served the function of a little house and was located in Calle Masena at sestiere CN. The owner of this parcel consists of 1 part. The owner’s family name was Maffetti, holding the title of noble man. This point had been rented to Santo Rossi. The rent included 25296 denari.","The geographic parcel of Venice, previously aligned with Calle Masena in the sestiere Cannaregio, exhibited a noteworthy transformation between 1740 and 1808. Initially, in 1740, the parcel was segmented into six points, each functioning as little houses rented out to various tenants, including Bortolamio Lenzatto, Bastian Picolin, and Gerolamo Simoni. The ownership resided solely with the Maffetti family, notable for their noble status, possessing the entire parcel as a single entity.

In contrast, by 1808, the ownership had transitioned to Elisabetta Maffetti, identified as a widow of Agostino ZEN, indicating a potential shift in family management owing to the death of her husband. This period marked a change in ownership type to rent, while the function of the parcel evolved to include a house as well as a courtyard and a building, suggesting an expansion of usage beyond the simple little houses from 1740. Additionally, Elisabetta Maffetti managed a broader portfolio with 12 other properties within Venice, providing insight into her significant standing as a property owner.

Overall, the changes reflect a transition in ownership from the Maffetti family to Elisabetta, alongside an evolution in the type and function of the parcel, potentially indicative of changing social and economic circumstances in the area. The continuity of the Maffetti name, however, suggests a persistence of noble lineage in property ownership throughout this span.",0,1,1
10582,"In 1808, The parcel was located in the district Castello, at the foundation of Quinta Valley, Donà Street, and St. Marco Court, covering an area of 106.286 square meters. It served as a house and was classified as a building. The owner of this parcel was the Comune di Venezia, originating from the Scuola di S. Marco, holding it under a rental agreement.","In 1740, this parcel contained 2 points.  Point 1 served the function of a house and was located in Corte delle Capucine Quintavalle at sestiere CS. The owner of this parcel consisted of 1 part. The owner's entity name was the great school of san marco. This point had been rented to Salvador Arma. The rent included 17856 denari. Point 2 served the function of a house and was located in Corte delle Capucine Quintavalle at the sestiere CS. The owner of this parcel consisted of one part. The owner’s entity name was the great school of San Marco. This point had been rented to Rocco Gasparon. The rent included 17856 denari.","The parcel under consideration transitioned significantly between 1740 and 1808. In 1740, it existed within the Corte delle Capucine Quintavalle in the sestiere of CS and was comprised of two points, both serving the function of houses. Ownership belonged to the great school of San Marco, which rented the points to individuals named Salvador Arma and Rocco Gasparon, with each rental agreement set at 17856 denari.

By 1808, the parcel's location shifted to the district of Castello, specifically identified at the foundation of Quinta Valley, Donà Street, and St. Marco Court. At this point, the parcel was classified as a building, suggesting a possible evolution in its structural status or use. The ownership changed to the Comune di Venezia, which appeared to have acquired the parcel from the Scuola di S. Marco, indicating a transfer of ownership from a religious or educational organization to a municipal entity. This might reflect broader administrative or societal changes within Venice during this period. 

Overall, the analysis indicates a progression from private ownership by an educational institution to public ownership, alongside a change in the parcel's specified location and classification, pointing to potential developments in urban organization and governance in Venice.",1,1,1
,"In 1808, this parcel includes 3 parts. part 1: The parcel was located in the district San Marco, at the ruzzolo field and cavaletto street, with an area of 29.728 square meters. It served as a house and its parcel type included building. The owner of this parcel was the COMUNE DI VENEZIA, with ownership type classified as Rent.part 2: The parcel was located in the district of San Marco, at the ruzzolo field and cavaletto street, with an area of 29.728 square meters. It served as a shop and its parcel type included a building. The owner of this parcel was ZANCOLO' Fratelli (a. Joseph) with the ownership type being rent.part 3: The parcel was located in the district of San Marco, at the ruzzolo field and cavaletto street, with an area of 29.728 square meters. It served as a house and its parcel type included a building. The owner of this parcel was Angelica Sartori, a widow of Moretti, and the ownership type was rental. Unfortunately, her husband, Moretti, had passed away. The owner also had one other property in Venice.","In 1740, this parcel contained 2 points.  Point 1 served the function of a house and was located in Calle per andar in Campo Ruzolo at the sestiere of SM. The owner of this parcel consisted of one part. The owner’s full name was Iseppo ZANCALO. Point 2 served the function of a house and was located in Calle per andar in Campo Ruzolo at sestiere SM. The owner of this parcel consisted of one part. The owner’s full name was Iseppo ZANCOL.","The geographic parcel of Venice underwent significant changes between the years 1740 and 1808. 

In 1740, the parcel comprised two points, both serving the function of houses, located in Calle per andar in Campo Ruzolo within the sestiere of San Marco. The ownership at this time was held by Iseppo Zancalo, who possessed both parts of the parcel.

By 1808, the parcel evolved into three parts and remained situated in the San Marco district, now at Ruzzolo Field and Cavaletto Street. This change possibly indicated a shift in administrative or local designations. The functions of the new parts varied; one served as a house and another as a shop, both classified as buildings. Importantly, ownership transitioned to multiple entities: the Comune di Venezia held the first part, while the second part was owned by Zancolo' Fratelli—potentially linked to the earlier owner—and the third part was owned by Angelica Sartori, the widow of Moretti. This shift in ownership types—both rental and municipal—suggested a transformation in property management and use within the parcel's vicinity.

While the earlier single ownership structure of Zancalo reflected personal control, the 1808 description indicated a more complex ownership landscape involving both familial and municipal stakeholders, possibly reflecting broader changes in property rights and urban development in Venice during that period.",1,1,1
270,"In 1808, this parcel includes 3 parts. part 1: The parcel was located in the district of Santa Croce, on dead men's street, with an area of 59.848 square meters. It served as a shop and its parcel type included a building. The owner of this parcel was ORSETI GERARDI Giovanni, with ownership classified as rent.part 2: The parcel was located in the district Santa Croce, dead men's street, with an area of 59.848 square meters. It served as a house and its parcel type included building. The owner of this parcel was SILVESTRINI Fratelli, with ownership type being Rent.part 3: The parcel was located in the district Santa Croce, dead men's street, with an area of 59.848 square meters. It served as a house and its parcel type included building. The owner of this parcel was CONTARINI Niccolò (q. John) with the title of Rent. The father of the owner was CONTARINI Giovanni, but he had passed away. The owner also had 10 other properties in Venice.","In 1740, The point served the function of a warehouse and was located in Corte dell'Anguria at SC. The owner of this parcel consisted of one part. The owner’s full name was Agostin Maffetti, holding the title of noble man. This point had been rented to inafittato.","The examined parcel in Venice experienced significant changes between the years 1740 and 1808. Initially, in 1740, it functioned as a warehouse situated in Corte dell'Anguria at SC, owned solely by Agostin Maffetti, who held the noble title and had rented the parcel to inafittato, indicating a rent-type ownership.

By 1808, the same geographic parcel evolved significantly; it was now divided into three distinct parts, all located in the Santa Croce district along Dead Men's Street. Each part had shifted from warehouse to residential and commercial functions, serving as a shop and houses. The ownership structure changed from a single owner to three different owners. 

The owners in 1808 were Giovanni Orseti Gerardi, the Fratelli Silvestrini, and Niccolò Contarini, each categorized under rent-type ownership. This change illustrates a transition from noble ownership to more diverse property management, possibly indicating a shift in social or economic dynamics of the area. Furthermore, the presence of a deceased former owner for Niccolò Contarini suggests a lineage of ownership and potential wealth distribution in the family, as he possessed multiple properties within the city.

Overall, the parcel's transformation over these years signifies a shift from singular noble ownership to multiple rental arrangements, along with a change in the parcel's functionality, reflecting broader changes within the urban landscape of Venice during this period.",1,1,1
8114,"In 1808, The parcel was located in the district of Cannaregio, specifically in the District of S. Soffia, Street, and Underpassage of Masena, covering an area of 450.717 square meters. It served as a house and its parcel type included both a courtyard and a building. The owner of this parcel was Todeschini Antonio, with ownership classified as rent. The owner did not hold any other properties in Venice.","In 1740, This point served the function of a house with a courtyard or shop and was located in Calle della Masena at sestiere CN. The owners of this parcel consisted of 2 parts. The first owner was identified as Maria Lanza. The point had been rented to Francesco Rossi, with the rent amounting to 59,520 denari. The second owner held the family name Lanza.","The geographic parcel of Venice underwent notable changes between the years 1740 and 1808. Initially, in 1740, it was situated in Calle della Masena within the sestiere of Cannaregio and served as a house with a courtyard or shop, with ownership divided between two entities—Maria Lanza and another family member of the Lanza family. The parcel was rented to Francesco Rossi, generating a rental income of 59,520 denari.

By 1808, the parcel's designation evolved to include both a courtyard and a building while still functioning primarily as a house. However, it became more specifically located within the District of S. Soffia, indicating a refined administrative classification. The ownership transitioned from the Lanza family to an individual named Todeschini Antonio, who held the property under a rent arrangement, and notably did not possess any additional properties within Venice.

This historical examination highlights a shift in ownership from a family-based structure to an individual owner and reflects changes in the administrative delineation of the parcel, which may suggest alterations in the local governance or urban development within Venice during this period.",1,1,1
